ip_address,abuseipdb_confidence_score,abuseipdb_total_reports,abuseipdb_num_distinct_users,ipvoid_detection_count,risk_recommended_pulsedive,virustotal_reputation,virustotal_malicious,virustotal_suspicious,virustotal_undetected,virustotal_harmless
23.96.122.233,100,107,41,2,low,0,8,2,28,56
176124205150,100,2514,673,11,medium,-3,14,3,26,51
14.225.254.72,100,1204,107,9,low,0,11,4,26,53
103.67.78.128,100,1022,449,11,low,-2,8,3,28,55
31.133.0.128,100,269,176,10,medium,-2,9,4,27,54
191.241.33.18,100,4687,889,12,critical,-4,10,3,27,54
180.76.146.235,100,3391,842,11,low,-4,5,5,28,56
205185113189,100,6471,935,16,none,-4,14,3,27,50
58.34.176.82,100,576,143,16,low,-2,12,3,27,52
14.128.55.133,100,6422,972,10,medium,-6,10,3,29,52
103.150.60.140,100,2179,537,18,medium,-1,14,3,27,50
91207115249,100,547,263,12,medium,-2,10,4,28,52
46.73.75.10,100,1022,153,12,low,-4,4,3,29,58
108.18.206.153,100,1385,221,16,low,-4,8,4,28,54
51.178.18.74,100,5811,950,11,low,-5,14,3,26,51
220.80.223.144,100,6917,1016,22,low,-8,13,3,28,50
103.210.21.14,100,636,80,3,low,0,11,3,26,54
4.231.132.14,100,315,71,4,low,0,4,4,29,57
193163125222,100,4406,68,8,low,0,9,2,29,54
5.11.145.151,100,4086,835,12,medium,-4,10,4,28,52
143.42.0.97,100,2098,102,7,none,-2,8,4,29,53
95182101207,100,1632,541,9,medium,-1,10,5,26,53
193.163.125.24,100,3866,71,6,low,0,6,2,32,54
79.110.62.135,100,3781,6,8,medium,-1,11,2,28,53
113142143129,100,688,351,10,medium,-1,9,4,27,54
36.88.61.220,100,471,98,12,low,0,5,4,28,57
5101156211,100,596,110,9,low,-1,8,4,27,55
45.91.171.169,100,7086,159,13,medium,-8,11,2,28,53
124.225.86.242,100,2971,748,12,low,-4,13,4,26,51
182.43.246.224,100,617,322,8,medium,-2,12,3,27,52
68.0.1.101,100,221,122,6,low,0,6,4,27,57
159223178117,100,4593,177,7,low,-1,10,3,27,54
90.173.78.90,100,706,170,14,low,-1,11,3,26,54
168.76.20.229,100,3766,111,11,medium,-2,12,1,28,53
114.36.99.79,100,1139,399,7,low,-3,10,4,27,53
14.63.196.175,100,9778,967,12,low,-4,11,4,27,52
157230238186,100,1138,495,7,low,-3,6,1,28,59
103186117226,100,206,98,7,medium,0,9,2,27,56
45.183.247.34,100,5943,180,9,low,-2,13,3,27,51
218.92.0.172,100,7987,126,11,low,-16,15,2,26,51
189.112.242.67,100,6240,925,12,none,-5,12,5,27,50
134.17.94.89,100,3873,848,6,medium,-3,12,4,27,51
103.231.46.66,100,4715,900,11,medium,-17,10,4,27,53
146.19.113.80,100,1797,582,9,high,-4,12,4,26,52
125124230248,100,973,427,10,medium,-1,11,3,25,55
143.244.172.31,100,1899,662,10,none,-4,11,3,26,54
170.0.235.253,100,6371,936,12,medium,-4,15,4,28,47
162.19.242.223,100,469,212,5,none,-1,11,3,26,54
194.165.17.21,100,1118,116,7,unknown,-1,11,2,27,54
206.189.18.26,100,472,89,4,critical,-1,7,3,28,56
162.241.121.9,100,3669,249,10,none,-2,10,4,27,53
172.206.142.75,100,825,154,12,none,-2,4,4,28,58
103238234194,100,4122,876,10,medium,-5,14,3,26,51
109.67.154.24,100,1360,196,14,low,-6,11,3,27,53
210.57.214.98,0,2,1,4,medium,0,12,2,27,53
218.92.0.211,100,11664,228,16,low,-13,17,2,25,50
194169175104,100,509,106,7,medium,-1,13,2,26,53
218.92.0.142,100,2440,94,9,low,0,11,3,26,54
202.164.37.82,100,1477,92,4,medium,0,8,4,28,54
206.168.34.132,100,8913,81,9,low,0,6,3,28,57
65.254.80.240,100,241,75,5,medium,0,8,3,27,56
109230223188,100,1262,519,10,medium,-3,13,3,26,52
182.70.120.127,100,1228,182,13,none,-5,12,3,28,51
103216116126,100,1620,266,7,critical,-1,6,4,28,56
103.230.16.90,100,556,146,12,high,0,9,5,26,54
66.63.187.127,100,2048,507,10,medium,-3,12,2,26,54
95.181.86.2,100,5672,911,11,medium,-4,11,3,27,53
211.20.14.156,100,5831,908,13,medium,-4,12,3,28,51
211.23.115.115,100,175,102,4,none,-2,8,4,28,54
4.156.21.177,100,915,148,8,none,-1,5,2,28,59
193163125181,100,4379,84,8,low,0,8,2,32,52
105.174.43.194,100,4033,845,7,medium,-5,13,2,26,53
216.55.146.46,100,97,50,2,low,0,4,3,29,58
45.79.104.47,100,2642,119,8,none,-1,10,3,28,53
124.198.59.254,100,6087,928,10,critical,-5,13,3,27,51
171.244.40.20,100,346,211,10,medium,0,12,3,28,51
150109244181,100,5067,953,10,low,-3,10,5,27,52
218.92.0.213,100,11772,231,13,low,-1,19,2,25,48
218.92.0.140,100,11242,109,8,low,-2,15,2,25,52
182.93.7.194,100,12570,992,17,low,-6,14,3,28,49
154.213.184.16,100,2542,196,13,medium,0,14,1,28,51
196221166198,100,147,35,8,medium,0,6,3,28,57
103.191.92.159,100,161,94,5,medium,0,8,4,28,54
203.162.120.6,100,332,78,7,none,0,6,3,29,56
218.92.0.237,100,38080,525,15,low,-5,18,2,25,49
61243105218,100,333,183,10,low,0,6,3,29,56
181.57.87.244,100,2956,769,10,low,-2,8,5,27,54
176.124.206.74,100,5845,997,9,medium,-5,12,3,28,51
137.184.180.36,100,7996,261,12,none,-2,9,4,28,53
68183109202,100,1178,476,6,low,-3,12,3,26,53
2.57.122.186,100,5024,666,18,medium,-7,19,1,26,48
96.10.249.114,100,1923,264,13,medium,-8,15,4,25,50
49.232.53.226,100,3399,60,2,low,-2,8,4,26,56
209.38.101.185,100,5231,946,9,low,-3,9,5,27,53
178252132250,100,9230,986,11,medium,-5,13,3,28,50
68.168.142.91,100,3349,779,12,low,-16,13,4,27,50
202155248196,100,3754,828,10,high,-16,14,5,26,49
220.118.147.50,100,5113,899,13,low,-3,15,2,27,50
217.8.229.205,100,150,82,5,none,-1,11,4,28,51
218.0.58.160,100,733,370,9,medium,-1,11,4,26,53
125.124.197.32,100,971,443,9,medium,-1,14,3,27,50
152.228.217.94,100,1638,581,11,none,-4,10,3,28,53
185139228190,100,6644,170,14,medium,-2,10,3,28,53
213238190123,100,372,78,4,medium,-1,6,3,28,57
177.12.2.75,100,5551,910,10,low,-4,15,4,27,48
198.244.188.27,100,2607,740,9,low,-3,13,3,27,51
102212216147,100,994,285,10,medium,0,17,4,25,48
187.32.227.248,100,5034,248,9,none,-2,9,4,27,54
103.200.20.78,100,6085,944,13,low,-5,13,3,28,50
202112238240,100,5615,246,13,medium,-2,10,3,27,54
193163125220,100,4543,63,7,low,-1,8,4,27,55
46191141152,100,6177,889,12,low,-5,11,5,27,51
13.91.165.193,100,916,147,11,none,-52,8,2,28,56
125124130124,100,657,337,7,medium,-2,11,4,27,52
106112194160,100,660,140,16,low,-3,11,3,28,52
85.209.11.185,100,6617,91,4,medium,-1,13,1,28,52
35247156112,100,2630,745,11,low,-3,8,4,28,54
35.178.164.86,100,418,81,3,none,0,3,4,28,59
159203186249,100,1348,132,9,low,0,11,4,25,54
150.138.84.30,100,380,91,6,medium,-1,11,4,27,52
65.49.1.90,100,2728,173,13,none,-2,11,3,28,52
134.209.68.90,100,971,413,4,low,-2,13,4,26,51
89.251.25.207,100,2440,716,11,medium,-2,11,3,27,53
110.166.87.119,100,2113,646,11,medium,-4,11,4,29,50
207.90.244.2,100,9913,360,20,low,-5,11,3,28,52
220.166.134.9,100,793,162,14,low,-2,12,3,25,54
185157223126,100,7388,955,10,low,-5,14,3,27,50
104248240197,100,2142,669,13,low,-3,13,4,25,52
200.118.99.170,100,6307,955,13,none,-5,14,4,27,49
199.45.154.113,100,1522,295,12,low,-1,13,3,27,51
60251120199,100,4168,796,12,none,-6,12,4,27,51
211.25.33.132,100,5963,991,9,medium,-5,9,4,28,53
187.251.123.20,100,4229,102,11,none,-2,11,3,27,53
159.89.178.159,100,996,414,6,low,-2,11,3,26,54
84247171248,100,67,46,2,low,-1,7,3,28,56
146.190.48.172,100,2054,137,9,low,-2,12,4,25,53
124197135208,100,339,113,12,low,0,7,3,28,56
189.206.165.62,100,1034,456,12,low,-13,17,2,27,48
71.6.165.200,100,4658,156,16,low,-73,18,1,27,48
103148100146,100,5652,961,10,medium,-4,11,4,27,52
52.189.76.10,100,976,162,12,none,0,7,2,29,56
210.101.91.155,100,5982,976,11,high,-5,13,3,27,51
51195255251,100,6824,1007,11,low,-5,11,4,27,52
59126252210,100,1554,108,9,low,-1,11,3,28,52
206.168.34.217,100,1576,243,11,low,-1,11,3,27,53
122.33.42.21,100,35,29,3,low,0,5,2,27,60
164.92.142.117,100,1026,308,9,low,-1,13,4,27,50
219134149219,100,201,123,4,low,-1,6,4,28,56
64.62.197.171,100,2770,167,15,none,-2,12,2,28,52
217.60.254.116,100,5741,911,8,low,-5,14,3,27,50
14.63.217.28,100,6300,953,12,low,-5,12,4,27,51
147.45.77.165,100,6530,962,13,low,-5,14,3,27,50
161.35.12.241,100,167,112,8,low,-1,10,3,28,53
103.38.182.49,100,3647,842,8,medium,-3,13,4,27,50
36.133.64.211,100,2112,637,11,low,-4,13,2,28,51
71.6.147.254,100,7183,92,9,low,-13,11,3,28,52
27.154.63.190,100,3090,781,10,low,-5,13,3,27,51
175.6.214.98,100,1637,617,6,medium,-3,15,3,27,49
178128161183,100,3444,687,17,low,-5,16,3,27,48
40.115.18.231,100,6981,945,13,low,-5,8,4,28,54
45.156.26.123,100,129,78,3,medium,0,9,4,26,55
36.155.14.189,100,1156,370,11,low,-2,9,3,28,54
81.28.167.30,100,9091,933,10,low,-17,11,3,27,53
159.203.37.255,100,1077,451,5,low,-3,8,4,26,56
164.132.56.147,100,7421,946,12,none,-4,10,5,28,51
190.104.25.221,100,5874,931,9,low,-5,10,2,26,56
34.22.163.7,100,180,122,3,low,-1,7,3,29,55
121202154250,100,1322,178,16,low,-6,12,4,27,51
221163182162,100,1781,248,20,low,-7,10,5,28,51
20214159245,100,6735,914,14,low,-4,8,3,28,55
221.120.34.19,100,152,78,7,low,0,11,3,28,52
109205213220,100,5527,120,4,medium,0,6,5,27,56
113.62.172.29,100,3129,822,9,low,-4,8,4,28,54
197248178226,100,1222,472,7,low,-4,9,3,28,54
211.43.15.150,100,5958,207,10,low,-2,13,3,26,52
223.171.55.59,100,1079,185,15,low,-2,8,5,28,53
159.89.48.129,100,1060,424,5,low,-3,11,3,26,54
106.38.205.224,100,2705,757,9,medium,-5,12,4,27,51
37.60.225.99,100,776,61,7,none,0,6,3,29,56
58.40.199.162,100,3439,811,10,low,-4,14,3,27,50
192.42.116.173,100,229,82,12,low,-2,12,4,26,52
40.77.68.11,100,1983,640,9,low,-4,9,3,26,56
187.16.96.250,100,6272,944,9,low,-5,11,5,28,50
161.35.184.153,100,7328,976,12,low,-6,8,4,27,55
202.39.239.109,100,4962,838,12,none,-6,12,3,28,51
111.67.197.152,100,789,345,12,low,-1,9,4,28,53
66.63.187.2,100,97,50,8,medium,0,12,2,26,54
95.47.125.7,100,1135,464,10,medium,-2,13,3,26,52
34.92.11.27,100,6218,955,11,none,-4,7,4,29,54
4217249119,100,1249,500,8,low,-3,8,3,27,56
180.76.234.80,100,2929,768,10,low,-3,6,5,28,55
61.171.69.194,100,478,98,4,low,0,7,2,28,57
113.137.40.250,100,3519,839,9,medium,-3,14,3,27,50
34.92.176.182,100,6703,942,10,none,-4,11,4,29,50
54.38.192.53,100,460,126,6,low,0,9,3,28,54
54.37.233.240,100,7323,974,13,none,-4,11,3,28,52
191252181100,100,601,129,6,low,0,8,4,29,53
64.62.197.229,100,2779,159,11,none,-1,6,2,30,56
143.42.164.34,100,2309,106,8,none,-2,8,3,29,54
218.92.0.236,100,35713,506,14,low,-3,19,2,24,49
154.80.229.54,100,1001,450,10,medium,-4,10,4,27,53
118.107.44.111,100,5032,969,12,medium,-59,14,2,27,51
95.155.36.152,100,376,54,8,low,0,10,3,27,54
101.36.127.15,100,4913,931,10,low,-2,14,3,27,50
178.160.195.60,100,1772,511,17,medium,-1,16,4,26,48
104.248.33.182,100,1805,627,7,low,-3,15,3,25,51
65.20.88.248,100,369,164,5,medium,-1,10,3,27,54
79.137.197.11,100,6417,955,14,high,-5,10,3,29,52
103.124.172.16,100,1616,590,11,medium,-4,13,4,26,51
144.126.192.64,100,4861,873,8,low,-4,12,3,26,53
51222206237,100,1168,107,7,low,0,8,4,27,55
183.90.242.44,100,61,37,2,medium,0,5,3,28,58
87.120.186.87,100,2158,668,9,medium,-2,13,3,26,52
218.234.104.60,100,1590,212,14,low,-5,7,5,28,54
125.124.201.42,100,2809,764,11,medium,-4,7,4,29,54
47237115242,100,2044,88,7,low,0,8,2,29,55
116.193.191.94,100,1341,478,4,low,-2,9,4,27,54
156.0.130.85,100,168,87,7,medium,-1,11,4,27,52
159.203.33.124,100,1085,477,6,low,-2,9,4,26,55
218.92.0.208,100,11230,230,11,low,-11,14,3,26,51
116198230220,100,165,93,7,high,0,10,3,27,54
101.126.55.179,100,1913,648,9,medium,-3,7,3,29,55
203.228.4.114,100,627,61,3,low,0,5,3,30,56
122.166.68.89,100,423,123,4,low,0,9,4,26,55
117.33.143.85,100,3686,872,7,medium,-4,11,3,27,53
140.246.193.16,100,979,426,6,medium,-2,8,4,26,56
104.199.217.25,100,6675,925,12,none,-5,11,3,27,53
87.98.173.252,100,1340,92,11,critical,-1,11,3,27,53
118163132212,100,1470,509,7,none,-3,9,4,27,54
187.212.34.32,100,2866,690,7,low,-2,11,3,26,54
222170255126,100,119,56,10,low,0,6,4,28,56
27.40.100.165,100,135,57,9,none,-1,9,1,29,55
95.214.27.29,100,9331,35,7,medium,0,11,2,26,55
37.58.18.216,100,7149,953,11,medium,-4,13,3,27,51
104248252175,100,2193,678,11,low,-3,11,3,25,55
64.225.105.80,100,360,225,8,low,-3,10,4,27,53
101126134222,100,296,174,5,medium,-1,6,4,28,56
152.32.203.233,100,6050,976,12,none,-4,13,4,27,50
178215236126,100,170,65,7,medium,0,8,3,27,56
154.221.28.31,100,4058,890,8,medium,-2,10,4,27,53
152.32.209.2,100,6604,946,12,low,-5,14,3,27,50
222.214.140.88,100,867,159,16,none,-3,12,4,27,51
218.92.0.133,100,4865,33,7,low,-4,14,3,25,52
45.156.128.49,100,2669,188,13,low,-1,12,2,28,52
107173160176,100,962,447,8,none,-2,9,4,27,54
64.227.148.8,100,6863,1001,9,low,-3,8,4,29,53
172.174.72.225,100,6312,968,11,low,-3,9,4,28,53
140.246.73.33,100,49,39,2,medium,0,5,3,29,57
185.242.226.47,100,7854,111,7,low,-1,13,3,27,51
70.37.89.177,100,6527,280,11,low,-2,5,3,27,59
93.62.72.229,100,295,93,12,none,-4,12,3,28,51
141.94.26.113,100,7558,951,7,none,-5,11,3,28,52
222219141178,100,2668,753,12,low,-4,12,4,27,51
167.71.191.92,100,1086,454,6,low,-1,14,3,26,51
77.90.185.19,100,563,132,10,medium,-2,14,2,25,53
103113105228,100,2109,606,9,low,-5,12,2,28,52
101126148106,100,975,425,9,medium,-2,10,5,26,53
209.141.58.142,100,7373,965,13,low,-4,14,3,27,50
13.64.108.50,100,847,137,12,none,-1,6,4,27,57
95.214.27.31,100,8338,36,5,none,0,11,2,28,53
103.157.25.15,100,2639,744,10,medium,-4,13,5,26,50
95.85.112.170,100,1260,173,12,high,-4,11,4,28,51
83.168.105.40,100,462,268,8,medium,-2,7,3,28,56
180.76.180.94,100,2271,705,9,low,-3,12,3,27,52
58.34.135.138,100,2257,678,12,low,-4,6,5,28,55
38.59.244.17,100,425,224,4,medium,-1,10,3,27,54
159.65.229.227,100,1917,658,11,low,-2,16,3,26,49
210207176162,96,35,22,3,low,0,8,5,26,55
5199139218,100,148,90,2,medium,-1,6,3,27,58
37.123.128.79,100,900,182,8,low,-2,12,2,28,52
194169175107,100,8689,615,20,medium,-3,12,2,27,53
42.200.78.78,100,6448,917,12,none,-18,14,4,27,49
92222181145,100,6960,961,10,none,-5,10,3,29,52
113.125.72.111,100,543,313,7,medium,0,9,3,27,55
41.214.20.60,100,9089,970,15,low,-6,16,3,27,48
41.214.20.60,100,9085,959,15,low,-6,16,3,27,48
135181109107,100,186,99,3,low,0,8,4,28,54
87120186119,100,2466,724,10,medium,-2,13,4,26,51
216.218.206.79,100,2335,96,7,none,0,6,2,30,56
180.7.190.123,100,283,102,5,low,0,10,3,27,54
59.23.20.15,100,343,123,5,high,-1,9,4,29,52
103237145111,100,491,60,6,medium,0,6,3,29,56
216.218.206.67,100,1003,262,14,none,30,15,2,27,50
124115177194,100,239,81,8,low,0,10,3,27,54
182.92.202.149,100,2440,250,10,low,-1,7,4,28,55
193163125164,100,4387,78,7,low,-1,5,2,30,57
4151230195,100,881,154,12,none,-3,7,3,28,56
40118163188,100,2102,659,10,low,-4,6,4,27,57
80.85.245.128,100,297,71,5,medium,0,6,4,28,56
216.10.250.218,100,2225,335,13,unknown,-1,15,4,26,49
139.59.56.163,100,3478,797,10,low,-3,13,4,26,51
152.42.189.50,100,353,159,7,low,0,5,3,26,60
89.39.16.186,100,566,279,3,medium,-2,11,3,26,54
173165182203,100,408,140,18,none,-3,12,3,29,50
132.145.73.158,100,2202,668,7,low,-2,10,5,25,54
51.159.111.44,100,13942,106,7,none,-1,6,2,30,56
47.121.26.242,75,235,97,3,low,0,8,3,29,54
52.160.33.137,100,321,111,6,none,0,3,3,30,58
48.216.197.87,100,759,103,10,none,-2,6,3,27,58
120.138.119.75,100,886,194,19,low,-3,9,4,28,53
60.250.225.51,100,79,55,3,medium,0,5,3,29,57
165.22.103.107,100,46,31,3,low,0,5,2,30,57
113125185175,100,292,186,5,medium,0,10,3,28,53
20191153200,100,1545,528,5,low,-1,9,4,27,54
139.144.239.74,100,2122,103,7,none,-1,6,4,29,55
114.241.29.237,100,88,47,3,low,0,6,3,27,58
217144189150,100,2222,695,11,medium,-2,9,4,27,54
199.45.154.177,100,9508,144,11,low,0,10,4,26,54
51.159.54.22,100,7516,1017,12,none,-5,13,3,27,51
206.168.34.216,100,1619,257,17,low,-1,11,2,29,52
141.98.10.50,100,125,63,5,low,0,9,2,28,55
218.92.0.149,100,9486,76,5,low,0,11,3,26,54
165.154.41.115,100,1681,116,7,low,-52,12,3,28,51
114.33.112.54,100,1197,98,8,none,0,12,3,28,51
87120115119,100,3988,322,11,medium,-2,13,3,26,52
2.57.122.192,100,4552,584,21,medium,-2,16,2,26,50
47.251.36.190,100,2137,86,6,low,0,7,3,29,55
79.110.62.92,100,16338,128,11,medium,-3,12,3,26,53
189.241.38.8,100,1058,402,4,low,-1,7,5,26,56
34.92.81.41,100,2731,771,7,medium,-4,5,4,29,56
217.182.53.35,100,138,33,3,none,0,5,3,31,55
103144146186,100,421,217,4,medium,-1,9,3,28,54
207.90.244.5,100,9479,364,17,low,-54,13,2,28,51
112216190234,100,229,40,7,low,0,8,3,29,54
185.143.3.132,100,2673,192,9,medium,-1,8,4,28,54
199.45.155.102,100,1409,223,15,low,0,11,3,28,52
61222211114,100,6443,939,11,none,-6,9,4,28,53
203.81.86.34,100,5634,932,21,medium,-6,17,4,25,48
194.9.56.139,100,5939,966,7,medium,-4,10,3,27,54
85208253189,100,633,317,6,medium,0,11,3,26,54
49160252150,100,29,24,3,low,-1,7,3,29,55
195.88.120.62,100,4265,313,16,low,-3,13,2,28,51
211169212206,100,1303,237,21,low,-6,11,5,27,51
95.30.250.44,100,559,134,12,low,-1,10,4,26,54
79.110.62.158,100,5051,30,6,unknown,0,15,1,29,49
171.244.40.236,100,1902,274,16,high,-7,13,3,27,51
202.95.12.187,100,6156,998,12,medium,-4,13,3,27,51
165154182154,100,720,149,10,low,0,12,2,29,51
104.152.52.153,100,72,52,5,low,-3,11,3,28,52
190.221.50.123,100,1131,487,9,medium,-1,8,3,27,56
109120134114,100,1172,471,10,medium,-1,12,3,26,53
161.82.250.19,100,6017,995,10,medium,-5,8,5,28,53
193.32.162.89,100,1938,158,15,medium,0,14,2,26,52
206.168.34.50,100,843,242,12,low,-5,10,3,27,54
8.211.51.119,100,1995,93,8,low,0,8,2,28,56
111193167212,100,189,82,10,low,0,9,3,27,55
115.247.46.126,100,6761,908,10,low,-5,9,4,28,53
165.154.36.91,100,429,141,7,low,0,13,3,27,51
124237215139,100,2495,739,6,low,-4,8,3,30,53
109.70.100.3,100,249,66,8,low,0,12,4,26,52
109.70.100.3,100,248,68,8,low,0,12,4,26,52
36134229187,100,1356,489,7,low,-3,13,3,27,51
202.131.233.35,100,3293,801,13,medium,-5,13,3,28,50
14.108.213.11,100,1434,568,4,low,-3,8,5,28,53
206.189.32.56,100,5727,890,6,none,-3,12,3,27,52
103217145144,100,210,132,6,medium,-1,7,3,28,56
81.192.46.45,100,6851,960,12,low,-6,13,4,27,50
43252229158,100,270,66,6,medium,0,10,3,27,54
192227248232,100,1322,390,14,none,-4,12,4,27,51
113.83.130.206,100,89,59,2,low,-1,10,3,28,53
203.228.4.123,100,1478,81,5,low,0,5,3,29,57
96.77.117.189,100,1494,75,7,none,-1,7,5,28,54
94127215232,100,1232,485,11,medium,-2,13,3,27,51
124.54.224.69,96,26,22,3,low,0,5,1,30,58
36.40.79.122,100,2935,779,11,low,-5,11,3,28,52
188.166.223.5,100,4837,905,11,low,-5,13,3,28,50
218.92.0.182,100,6250,109,10,low,-2,16,2,25,51
223197125110,100,3064,701,9,none,-4,13,4,27,50
119.96.220.13,100,2350,733,9,medium,-4,10,3,27,54
180.184.46.145,100,4117,843,11,medium,-4,9,4,27,54
20.14.136.236,100,145,84,5,low,-1,2,4,28,60
182.54.3.2,100,1143,200,16,low,-5,9,4,28,53
103.67.78.89,100,979,434,12,low,-2,9,3,27,55
116193191104,100,1756,598,7,medium,-3,10,4,26,54
121.225.97.78,100,956,140,14,medium,-4,6,4,28,56
123.194.32.125,100,1472,79,6,low,-1,13,3,28,50
43252212139,100,224,78,5,high,-1,9,3,27,55
178.215.224.48,100,832,93,11,medium,0,7,4,27,56
218.150.246.42,100,14260,979,11,low,-5,12,4,28,50
77.90.185.27,100,374,141,15,medium,0,13,2,25,54
85208253246,100,1078,445,6,medium,-2,8,3,27,56
112.216.120.67,100,2822,767,10,low,-4,10,5,27,52
165227147215,100,1961,122,10,low,-3,12,4,25,53
193.163.125.21,100,3868,79,6,low,0,7,3,30,54
4184136230,100,1793,625,7,low,-3,8,4,27,55
193.254.3.18,100,5031,870,11,medium,-3,10,4,28,52
91.238.181.31,100,3501,258,15,medium,-4,10,3,28,53
201.172.109.98,100,913,225,15,low,-5,14,3,28,49
167.172.89.248,100,1846,128,5,low,-1,11,3,28,52
34.92.247.119,100,2444,715,7,medium,-4,12,3,28,51
103.226.250.64,100,1189,103,8,low,0,13,4,26,51
39153252196,100,418,52,6,low,0,6,3,29,56
119.207.3.114,100,537,128,6,high,0,6,4,28,56
107.175.32.28,100,7134,970,12,none,-4,12,3,27,52
156.238.99.83,100,171,72,11,medium,0,10,3,28,53
103.67.79.165,100,6245,926,15,low,-5,12,4,28,50
193.41.206.24,100,598,280,14,medium,-1,12,4,26,52
209.97.171.237,100,5945,984,8,low,-5,14,3,27,50
118122147135,100,847,391,3,medium,-2,12,3,27,52
181.209.63.113,100,1105,442,5,medium,-3,11,4,26,53
128.199.206.26,100,2424,704,10,low,-5,10,3,27,54
14.6.81.179,100,7471,954,7,low,-5,9,3,28,54
87120117228,100,8701,232,15,medium,-3,16,3,25,50
145.239.85.111,100,5180,956,12,low,-5,14,3,26,51
218.92.0.134,100,8737,32,9,low,0,12,2,26,54
103.191.92.173,100,5532,951,11,low,-4,13,3,27,51
122.3.192.83,100,3693,842,13,none,-5,13,4,27,50
124129157189,100,327,93,9,low,0,10,4,28,52
135.125.238.48,100,7411,1004,13,none,-4,8,4,28,54
218.92.0.139,100,11899,120,7,low,0,14,3,26,51
199.45.155.67,100,1426,223,14,low,0,10,2,27,55
182.59.130.21,100,506,132,11,low,-3,6,4,28,56
164.90.183.214,100,4457,871,8,critical,-4,13,4,26,51
39.171.253.89,100,305,43,7,low,-1,14,2,28,50
47104198108,100,1434,95,10,low,-1,9,4,28,53
223.113.121.94,100,3394,770,11,low,-5,12,2,29,51
117.50.209.157,100,1069,454,10,low,-1,13,3,26,52
170.64.130.197,100,1933,133,8,low,-1,10,3,28,53
89.47.197.129,100,1453,531,12,medium,-3,17,3,26,48
103.81.86.208,100,5831,913,11,medium,-4,14,3,27,50
101.226.180.6,100,2391,708,11,low,-3,10,2,30,52
115.231.8.158,100,220,70,14,medium,0,10,3,26,55
51.68.226.87,100,7578,1011,11,none,-4,15,3,27,49
58.98.226.137,100,1891,612,5,medium,-3,9,3,28,54
37.27.4.26,100,288,156,4,low,-1,10,3,27,54
85.208.96.201,100,324,55,6,low,-1,6,3,29,56
2a00:1128:1:1::146:65,100,330,71,1,none,0,0,0,94,0
114.206.23.151,100,8914,955,11,low,-6,12,3,28,51
115231111158,100,1131,207,12,critical,-4,13,3,26,52
84.38.128.37,100,207,78,5,medium,0,10,3,27,54
61.86.41.125,100,176,38,5,low,0,5,3,30,56
125124209172,100,1614,597,10,medium,-4,15,3,26,50
165154129220,100,1787,118,8,low,-2,11,3,29,51
4.255.99.170,100,918,143,10,none,-52,9,2,27,56
219.152.51.148,100,2782,750,7,low,-3,9,4,28,53
77.237.238.88,100,538,129,6,low,0,8,3,28,55
196203207166,100,5290,917,12,medium,-4,9,5,27,53
101.36.107.228,100,5677,968,8,low,-5,11,3,27,53
116193191223,100,976,375,6,unknown,-1,12,3,26,53
103.23.198.134,100,902,394,8,medium,-1,13,3,25,53
152.32.207.179,100,1761,118,13,low,0,11,2,30,51
35.241.84.62,100,6577,920,11,none,-6,7,4,29,54
118.37.157.169,100,6010,169,9,low,-4,13,4,27,50
185.196.8.248,100,6339,934,15,medium,-4,18,2,26,48
119.96.226.228,100,3660,813,9,medium,-3,15,3,27,49
182.61.17.247,100,2382,698,13,low,-5,12,4,27,51
34.151.198.59,100,4868,919,9,low,-3,4,3,29,58
110159113118,100,1024,434,5,low,-2,8,5,26,55
203135101182,100,3466,804,11,medium,-4,10,4,27,53
114.34.173.26,100,400,53,7,none,-1,5,4,28,57
14.128.49.122,100,993,421,5,medium,-3,10,4,26,54
8.211.43.157,100,2119,83,8,low,0,6,3,28,57
20.212.252.86,83,63,27,2,low,0,3,4,28,59
47250143143,100,2106,84,8,low,0,9,3,29,53
202.125.94.71,100,5163,891,10,low,-6,12,3,27,52
124.129.70.127,100,167,45,7,low,0,8,4,27,55
195.178.110.17,100,3607,235,4,medium,-2,6,4,26,58
218.92.0.212,100,10936,226,13,low,-4,16,2,26,50
185213164175,100,511,280,3,medium,-2,9,4,28,53
198.23.159.250,100,184,86,4,low,0,9,3,27,55
45.95.232.195,100,178,69,6,medium,0,9,3,28,54
221.209.48.203,100,1401,198,17,low,-5,11,3,27,53
141.98.11.74,100,3603,58,6,low,0,9,2,28,55
103145163219,100,3033,793,9,medium,-2,14,4,26,50
218.92.0.161,100,3571,69,8,low,0,15,2,25,52
51.8.71.59,100,833,122,11,none,-1,6,4,27,57
223.244.25.69,100,3218,804,11,medium,-4,10,5,27,52
154213185223,100,9863,84,6,medium,0,9,3,26,56
193.233.75.73,100,767,326,6,medium,-2,13,3,26,52
206.168.34.164,100,10296,134,12,low,-3,9,2,29,54
103.250.11.89,100,2059,645,7,medium,-4,11,4,26,53
218.92.0.183,100,5668,119,8,low,-3,16,2,25,51
125.99.173.162,100,5343,894,11,low,-17,11,3,29,51
148.66.132.190,100,5790,923,12,high,-18,14,3,26,51
202.157.177.33,100,6389,947,10,low,-4,12,3,27,52
45.33.73.185,88,179,61,3,low,0,11,3,27,53
43.156.43.73,100,2002,74,10,low,0,11,3,26,54
